260008,286745,2685357,pv,1582607823569
918901,581904,4145813,fav,1582607823569
384387,1030778,2558244,pv,1582607823569
482139,3185376,4643350,fav,1582607823569
235970,2894582,4145813,pv,1582607823569
65506,714968,4690421,pv,1582607823569
321959,1280072,1050007,pv,1582607823569
12240,3264102,569703,pv,1582607823569
790010,3937243,2520377,pv,1582607823569
943437,3137835,982926,pv,1582607823569
592077,2347794,2394030,pv,1582607823569
537445,3254766,4756105,pv,1582607823569
654455,3147983,1464116,pv,1582607823569
344486,2136218,181182,pv,1582607823569
893134,4885704,4756105,pv,1582607823569
531129,4234397,1787510,pv,1582607823569
363330,4389389,3455617,pv,1582607823569
167692,1014037,815311,pv,1582607823569
298177,686024,2945933,pv,1582607823569
424886,178123,245312,pv,1582607823569
169630,665361,3607361,pv,1582607823569
211434,3980141,2640118,fav,1582607823569
133644,526012,3776866,fav,1582607823569
105783,4649427,4756105,pv,1582607823569
77600,4397975,3253440,pv,1582607823569
724344,2483231,3544253,pv,1582607823569
92290,232161,295183,pv,1582607823569
636389,767734,5101577,pv,1582607823569
783553,4056427,5063620,pv,1582607823569
823051,483560,2176263,pv,1582607823569
794897,3209415,2355072,pv,1582607823569
420170,1231908,3232473,pv,1582607823569
645559,4936530,4801426,pv,1582607823569
721152,4329365,4818107,fav,1582607823569
246456,4908177,2892802,pv,1582607823569
274343,3462788,4756105,pv,1582607823569
607051,1008236,401357,pv,1582607823569
758170,4182684,3738615,pv,1582607823569
86641,4375253,3604509,pv,1582607823569
287013,5032425,1567637,pv,1582607823569
152456,773081,3607361,pv,1582607823569
67949,2848379,4643350,pv,1582607823569
145468,1626551,4050612,pv,1582607823569
212711,2556544,3289997,pv,1582607823569
667768,4859745,3607361,pv,1582607823569
259916,5138037,3607361,pv,1582607823569
819367,4216051,2778281,pv,1582607823569
284523,2302992,4719814,pv,1582607823569
341226,2410928,245312,pv,1582607823569
315379,3521545,4756105,pv,1582607823569
314596,9548,3320579,pv,1582607823569
445851,3083357,4181361,pv,1582607823569
437094,1883784,4191275,pv,1582607823569
810739,59883,4818107,pv,1582607823569
235762,4328011,4046054,pv,1582607823569
360020,4322404,2131531,share,1582607823569
497594,1196041,3042050,pv,1582607823569
100280,1657067,2210612,pv,1582607823569
173349,4230104,149192,pv,1582607823569
691654,4302315,4022701,pv,1582607823569
412433,3870853,2050292,pv,1582607823569
681331,1628323,1320293,pv,1582607823569
994258,949311,4801426,pv,1582607823569
683088,2097165,149192,pv,1582607823569
423924,3229610,1320293,pv,1582607823569
540490,2863394,866301,pv,1582607823569
197701,3125568,2520377,pv,1582607823569
376771,5011642,1419417,pv,1582607823569
425853,4369250,3004853,fav,1582607823569
7921,20599,982926,pv,1582607823569
682037,4230041,562852,pv,1582607823569
444471,3264039,1859277,pv,1582607823569
6726,212781,3367924,pv,1582607823569
903549,1162128,2640118,pv,1582607823569
10580,4276792,2520771,pv,1582607823569
50095,838369,2096639,pv,1582607823569
832600,1124877,383530,pv,1582607823569
288327,3274042,3002561,pv,1582607823569
311013,3474899,2355072,pv,1582607823569
979323,2426852,2355072,pv,1582611423569
92812,5112758,5095125,pv,1582611423569
756035,4084706,149192,pv,1582611423569
204739,2520024,3536601,pv,1582611423569
704806,3305461,2640118,pv,1582611423569
686241,1471421,1299190,pv,1582611423569
755113,1389121,2465336,pv,1582611423569
240495,2797527,2920476,pv,1582611423569
108396,2873058,4756105,pv,1582611423569
756645,3273182,982926,pv,1582611423569
960134,4666203,570735,pv,1582611423569
446623,4646185,1505776,pv,1582611423569
473212,1664083,2164274,pv,1582611423569
387439,949862,2733371,pv,1582611423569
623192,2455964,3982336,pv,1582611423569
105783,3031661,4756105,pv,1582611423590
664561,4446636,2892802,fav,1582611423590
231517,3578182,4173315,pv,1582611423590
680945,3405823,1029459,pv,1582611423590
307034,2850929,4082778,pv,1582611423590
875881,1893423,154040,pv,1582611423590
884782,1532574,3002561,fav,1582611423590
832033,2124236,3002561,pv,1582611423590
96278,1749413,965809,pv,1582611423590
116943,5010875,2952458,pv,1582611423590
882969,3293911,3747017,pv,1582611423590
629771,2813582,3231861,pv,1582611423590
179726,4712023,4956748,fav,1582611423590